cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32
TMEM238,TRG-AS1,CD93,CCL4,TENT5C,LYAR,TRIM10,GSTP1,BLNK,CEBPD,IFI30,PDE3B,SRGN,DNAJC6,AKR1C1,TLR4,TFDP1,PAX5,FAM30A,SEMA4A,MNS1,SPINK2,AC244502.1,SPATS2,AURKB,IL3RA,NRXN2,CETP,LINC00426,MKRN1,GNPDA1,TBC1D9,GPX8
LEPROTL1,LCK,SULF2,CD300A,RBM38,MATK,CENPF,H1-4,BTLA,NCF2,AIF1,RASA3,ZNF804A,CA8,NMNAT3,MS4A4A,HSPD1,AFF3,MECOM,CIITA,CORO2B,GATA2,CYTL1,COBLL1,MCM6,MAP1A,IGF2BP3,PRX,STAG3,TCP11L2,NPC2,RTN1,ZFHX4
PIM2,APOBEC3G,NLRP3,CMC1,TNS1,SAMD3,RHAG,ALYREF,HLA-DQA1,JARID2,C3AR1,STAT4,RFX2,TMPRSS9,AL031123.1,KCNH3,RPL22L1,CD72,ERG,FLT3,CDK6-AS1,TUSC1,SERPINE2,PDK1,TIMELESS,DERL3,DNTT,SLCO5A1,PPFIBP1,MXI1,GLUL,MS4A1,CHL1
BCL2,MYBL1,RIN2,CD244,HBD,PYHIN1,TNXB,FGFR1OP2,POU2AF1,STX11,ADGRE2,DOCK10,IL1RAP,TLN2,LCA5,LINC01503,RANBP1,SPIB,MMRN1,MTMR11,CDCA5,PRSS21,HYAL3,SEL1L3,RPL39L,CYYR1,DANT2,ANGPT1,BLNK,ATP6V0C,NPL,ADAM19,GHR
SPOCK2,TSEN54,SMARCD3,CD38,FAXDC2,TGFBR3,GYPB,LSM4,EBF1,PLEC,CD300LF,ZNF407,IGF2BP2,TNS1,PMP22,C3AR1,GLRX5,SLC9A7,ACOT11,SHTN1,DTL,PARD3,CAVIN1,PLPP5,MCM4,TCF4,P2RY14,HOXA5,PTPRD,FBXO7,IGSF6,CD40,FMO3
TRADD,PTPRCAP,ALDH2,CST7,TCP11L2,PPP2R2B,H2AC14,NUDC,PLPP5,ZSWIM6,PID1,MLLT3,CENPP,RSAD2,ALDH1A1,WDR86,HMGB2,POU2AF1,RBPMS,TGFBI,E2F8,GNAI1,APOC1,XBP1,TPX2,NAPSA,RFX8,EFCC1,CD24,BAG1,CTSZ,SIPA1L3,ALDH1A3
PCED1B-AS1,LIME1,TNFAIP2,ZBTB16,OSBP2,CLIC3,KIF15,DUT,SWAP70,CSTA,CD86,GPRIN3,FNDC3B,SELENBP1,ADD2,CYP1B1,HSPE1,VPREB1,MEIS1,LGALS2,TOP2A,SLC18A2,MEIS1,GMPPB,FANCI,LINC01374,TRPM2,KIF26B,SCML2,CREG1,RAB32,IFI30,ANGPTL4
SIT1,PLAAT4,LRRK2,RGS3,EPB42,IL32,TSPO2,HNRNPU,AFF3,NAMPT,LINC00877,GRAP2,SLC39A11,NFIX,CMBL,DHRS9,HDGF,C16orf74,NKAIN2,NEGR1,BLNK,ZNF521,PRKAR2B,IFNG-AS1,UBE2C,IRF7,BAHCC1,HOXB3,NAV1,RIOK3,MS4A6A,COBLL1,SPARCL1
CORO1B,SH2D2A,SGK1,CEP78,FBXO7,CEP78,ESCO2,TM9SF2,PPP1R14A,TRPS1,MYOF,MGAT5,GIHCG,MARCHF3,SPTBN2,AL355922.1,METAP2,EBF1,GIHCG,CTSH,ASF1B,LNCAROD,EMID1,ERLEC1,WDR76,TNFRSF21,SPRY1,PTPN14,CD79B,YBX3,MARCKS,BLNK,CRYAB
AC243960.1,PYHIN1,NCF2,PYHIN1,DMTN,LLGL2,SLC4A1,HNRNPF,HVCN1,FRY,NR4A1,SFMBT2,ANKRD28,TAL1,HSD3B7,PRAME,ATP5MC1,PPP1R14A,CBX2,CD300C,SPC25,RPP25,GIHCG,AC078883.1,RAD51AP1,SPIB,STK32B,WDR49,LEF1-AS1,ISCU,GNS,ADAM28,CCDC80
BCL11B,TRBC2,MS4A6A,OSBPL5,RNF10,SH2D2A,PBK,OSTC,CD72,SLCO3A1,EPB41L3,BCAS3,CSTA,CPEB4,SYNGR1,FMN1,HBM,ANKRD33B,SPRY1,GPR183,MKI67,BAALC,SEMA3C,SLAMF7,PCLAF,P2RY14,BAALC-AS1,EMP1,AC016168.2,TENT5C,BASP1,NFKBID,NR2F2
