gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold,celltype
TPO,0.115914432295707,2.01816781584828e-07,0.00144269497658067,0.709954727344639,0.988334755250581,FALSE,CD8 Terminally Exhausted
PXDN,0.134398027761878,1.67028053154585e-07,0.00144269498412948,0.805457921265149,0.988334755250581,FALSE,CD8 Terminally Exhausted
MYT1L,0.014985761624969,5.48485258277326e-08,0.00144269499895836,0.54024753525423,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC093390.2,0.014985761624969,5.48485258277326e-08,0.00144269499895836,0.54024753525423,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC018685.2,0.0114879277837669,4.43632166809077e-08,0.0014426950010736,0.521717373296097,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC019118.2,0.014985761624969,5.48485258277326e-08,0.00144269499895836,0.54024753525423,0.988334755250581,FALSE,CD8 Terminally Exhausted
EIPR1,13.030033581785,6.24400922316992e-07,0.00144268301440322,0.516685128285792,0.988334755250581,FALSE,CD8 Terminally Exhausted
EIPR1-IT1,0.014985761624969,5.48485258277326e-08,0.00144269499895836,0.54024753525423,0.988334755250581,FALSE,CD8 Terminally Exhausted
TRAPPC12-AS1,0.111782559185549,-1.92241795861598e-07,0.00144269496516288,0.407785982163312,0.988334755250581,FALSE,CD8 Terminally Exhausted
ADI1,7.64206391202641,1.42990134247043e-06,0.00144268692650431,0.569867143350181,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC231981.1,0.347868615721338,-2.4559965967427e-07,0.00144269469319761,0.338941632496924,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC108488.1,0.0531448214996304,1.23698199173518e-07,0.00144269498540836,0.708471918535044,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC108488.2,0.40116974901957,5.5555584986272e-07,0.00144269484737376,0.709920055405646,0.988334755250581,FALSE,CD8 Terminally Exhausted
RNASEH1,4.53090987066897,-1.66342169413225e-06,0.00144268996544374,0.403858529805008,0.988334755250581,FALSE,CD8 Terminally Exhausted
RNASEH1-AS1,3.33835003686122,-8.25471522487094e-07,0.00144269140345108,0.581661209247275,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC108488.3,0.0114879277837669,4.43632166809077e-08,0.0014426950010736,0.521717373296097,0.988334755250581,FALSE,CD8 Terminally Exhausted
ALLC,0.0114879277837669,4.43632166809077e-08,0.0014426950010736,0.521717373296097,0.988334755250581,FALSE,CD8 Terminally Exhausted
DCDC2C,0.0114879277837669,4.43632166809077e-08,0.0014426950010736,0.521717373296097,0.988334755250581,FALSE,CD8 Terminally Exhausted
NRIR,0.0846756025041561,-1.45175607133708e-08,0.00144269493751626,0.528523167192327,0.988334755250581,FALSE,CD8 Terminally Exhausted
CMPK2,3.27544392471005,-1.07743007704145e-06,0.00144269235840535,0.417279555771456,0.988334755250581,FALSE,CD8 Terminally Exhausted
RSAD2,3.24771787648849,-1.92555255899529e-06,0.00144269372513636,0.0868482654537533,0.988334755250581,FALSE,CD8 Terminally Exhausted
RNF144A-AS1,0.0381590598746613,1.04041080042547e-07,0.00144269498862792,0.65014175551921,0.988334755250581,FALSE,CD8 Terminally Exhausted
RNF144A,5.76136688430645,-3.90477590245493e-07,0.00144269090831711,0.81902906244809,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC068481.1,0.142388121704443,2.17256510576912e-07,0.00144269496309658,0.804806537871516,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC013460.1,0.046149153817226,1.16294073918622e-07,0.00144269498629039,0.684280913083544,0.988334755250581,FALSE,CD8 Terminally Exhausted
LINC01871,37.9338661632456,6.46991469317366e-06,0.00144268675776519,0.331725172794514,0.988334755250581,FALSE,CD8 Terminally Exhausted
LINC00299,4.53499340380124,-7.23462318556852e-07,0.00144269055003337,0.583758812660896,0.988334755250581,FALSE,CD8 Terminally Exhausted
LINC01814,1.94130409856233,-1.00891074296456e-06,0.00144269233799811,0.544890213250723,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC092617.1,0.154157680121029,1.24491987347816e-07,0.00144269498545879,0.657392727247134,0.988334755250581,FALSE,CD8 Terminally Exhausted
ID2-AS1,0.820195412554242,5.64909796244404e-07,0.00144269404307458,0.750819771514787,0.988334755250581,FALSE,CD8 Terminally Exhausted
ID2,128.561487144962,-6.03419778299299e-06,0.00144266038104703,0.294864398938848,0.988334755250581,FALSE,CD8 Terminally Exhausted
KIDINS220,19.4869303054517,4.84885858109975e-06,0.00144267980476121,0.22203755324573,0.988334755250581,FALSE,CD8 Terminally Exhausted
MBOAT2,0.061134915442195,1.32561382817356e-07,0.00144269498423145,0.736353324770868,0.988334755250581,FALSE,CD8 Terminally Exhausted
ITGB1BP1,34.1012426520758,-2.71926917626322e-06,0.00144266727571161,0.556404186741705,0.988334755250581,FALSE,CD8 Terminally Exhausted
CPSF3,8.49651435036838,1.85625494535401e-06,0.00144268605116487,0.457176896914634,0.988334755250581,FALSE,CD8 Terminally Exhausted
ADAM17,11.4339277645699,1.91912143197991e-06,0.00144268126348382,0.552251701264588,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC080162.1,0.61829888684866,1.03770843443809e-06,0.00144269440500251,0.397556269277004,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC073195.2,0.458129610957946,4.97966176594586e-07,0.00144269452570358,0.779262251000626,0.988334755250581,FALSE,CD8 Terminally Exhausted
YWHAQ,71.5639794256877,1.17236995389598e-05,0.00144266992574266,0.0239211844725282,0.988334755250581,FALSE,CD8 Terminally Exhausted
TAF1B,12.4944946870511,-1.85679762018023e-06,0.00144268496191323,0.480775790037569,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC010969.2,0.601924333890463,-2.25523668770529e-07,0.00144269423699963,0.594002113321092,0.988334755250581,FALSE,CD8 Terminally Exhausted
GRHL1,0.368042940001451,-3.27195172594177e-07,0.00144269496460998,0.311574147120941,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC104794.3,0.485769117130604,-6.09303497537312e-07,0.00144269458347446,0.242981870091191,0.988334755250581,FALSE,CD8 Terminally Exhausted
KLF11,2.17211809583431,-2.5675900769967e-06,0.00144269321257884,0.0812853245438874,0.988334755250581,FALSE,CD8 Terminally Exhausted
RRM2,0.657198380437577,-3.96571870135057e-07,0.00144269452345084,0.363357132192816,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC007240.3,0.234179150798649,-1.89217041375892e-07,0.00144269481049169,0.313420259033817,0.988334755250581,FALSE,CD8 Terminally Exhausted
HPCAL1,26.1463197422377,-4.46083200009045e-06,0.00144268405622339,0.171341700047422,0.988334755250581,FALSE,CD8 Terminally Exhausted
ODC1,40.172111910913,-4.74117372509994e-06,0.00144267349415727,0.265948893277367,0.988334755250581,FALSE,CD8 Terminally Exhausted
ODC1-DT,0.268530574741308,-2.35658596171085e-07,0.00144269484568436,0.41459145571689,0.988334755250581,FALSE,CD8 Terminally Exhausted
NOL10,9.45922613148728,1.62976805052037e-06,0.00144268228535524,0.52459118326151,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC007314.1,0.156739844060456,-9.59278202390077e-08,0.00144269488956304,0.533087844811608,0.988334755250581,FALSE,CD8 Terminally Exhausted
RN7SL832P,0.014985761624969,5.48485258277326e-08,0.00144269499895836,0.54024753525423,0.988334755250581,FALSE,CD8 Terminally Exhausted
ATP6V1C2,0.228845093173756,-3.5863145798032e-07,0.00144269469157006,0.46576065234759,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC092687.3,0.152925944536402,-2.65713390839306e-07,0.00144269492024871,0.336022994210137,0.988334755250581,FALSE,CD8 Terminally Exhausted
PDIA6,56.4658749431303,-1.53867457100513e-05,0.0014427018742526,0.219004927343225,0.988334755250581,FALSE,CD8 Terminally Exhausted
AC062028.1,0.0114879277837669,4.43632166809077e-08,0.0014426950010736,0.521717373296097,0.988334755250581,FALSE,CD8 Terminally Exhausted
C2orf50,0.0883617874118282,-2.60054569710277e-07,0.00144269499979258,0.339021181217322,0.988334755250581,FALSE,CD8 Terminally Exhausted
