NK,Monocyte,B_cells,Early_Erythroid,Mid_Erythroid,Late_Erythroid,cDC,pDC,Plasma_Cell,Pre_B_cell,Cycling_NP,NP,ProB,GMP,HSPC,EP,IMP,MkP,MPP,EBM,CD4_Naïve,CD56_dim_NK,CD8_Term_Eff,CD8_GZMK_Exh,CD8_EM,CD8_Naïve,NKT,CD4_CM,MAIT,Tregs,CD56_Bright_NK
PDGFD,HIF1A,ZCCHC7,ATP5MC1,TUBB,MAN1A1,SLC8A1,MYO1E,SPATS2,PLD4,LRMDA,QKI,HLA-DPB1,ERG,TAFA2,CYTL1,YBX3,FERMT3,TOX,CSF2RB,BCL2,CTBP2,GZMM,NR4A3,RPL41,GTDC1,CHST11,SERINC5,EML4,FOXP3,KCNQ5
MATK,TYROBP,CD22,H1-3,ABCB10,MOB1B,PLXDC2,NIBAN3,BMP6,CD22,PLAUR,DIAPH2,ADAM23,HSPB1,RPL11,LMO2,HPS4,AC010197.2,CDK6,MS4A3,AP3M2,S100A4,APOBEC3G,LYAR,OAZ1,SLC7A5,ARL15,TPT1,RORA,RCAN3,ZFP36
RUNX3,SRGN,MARCHF1,CCT6A,H3C2,CAT,HLA-DQA2,GZMB,CD38,FCRLA,SLC2A3,SRGN,RCSD1,ITGA4,NACA,HSPD1,TSPAN14,MMRN1,VAV3,RPS6KA5,EML4,LGALS1,MYO1F,BTG1,RPS19,LRIG1,FOXN3,SNHG8,KLRG1,RHOH,IFRD1
CX3CR1,APLP2,ANGPTL1,STMN1,CENPE,SLC25A39,CD1C,AUTS2,PDK1,ADAM23,ANXA1,DMXL2,ROR1,HINT1,RPL3,PLIN2,PAX5,CLU,TCF4,HERC1,CMTM8,MT2A,CTSC,IER2,CLIC1,PRKCB,NFATC3,ERN1,BTBD11,SAMSN1,NKG7
PPP2R2B,ANPEP,SEL1L3,PCNA,UBE2S,NFIX,CD86,LDLRAD4,AC008014.1,MME,FCER1G,FNDC3B,FOXP1,PCBP3,MLLT3,ALDH1A1,LDLRAD4,PLXDC2,PPP1R16B,PDZD8,AC010197.2,AK5,CMC1,CD81,CMC1,CNOT6L,TFDP2,ZFAS1,PARP8,ADK,CEBPD
CMC1,EREG,BCL11A,MYL4,OSBP2,BPGM,JAML,SOX4,FCRL5,IGLL5,SERPINB2,PSAP,HLA-DRA,CST7,MED12L,SLC25A21,CMTM8,MGLL,GNA12,ELL2,BIRC3,APOBEC3G,HCST,RNF19A,RPL35,TPRG1,PIP4K2A,MB21D2,SPOCK2,EZR,AOAH
PRKCH,PTPRE,RAB30,METAP2,PTTG1,TSPO2,LRMDA,GRAMD1B,CARMIL1,PPP1R14A,ASAP1,CSTA,KLHL14,IMMP2L,RPL26,ELOVL6,MDM2,HSP90AB1,MEF2C,SIK3,MAP3K1,IFITM2,GGA2,TENT5C,GUK1,ARHGAP15,LPP,EEF1A1,ZBTB16,ATP2B1,CXXC5
PRSS23,FGD4,ADK,UBAC1,SMC4,IFIT1B,ETV6,TBC1D4,SLAMF7,WASF1,FOSB,FOXO3,WASF1,TM7SF3,RPL32,RPS5,ELK3,FREM1,CYGB,ZBTB20,LEF1,MYO1F,S100A6,TIGIT,CXCR4,BTBD9,AL159141.1,RPLP1,PBX4,ATXN7L1,GZMK
HLA-C,PADI4,TCL1A,RANBP1,SLC25A39,MARCHF3,MAP3K8,PTGDS,LMAN1,MACROD2,ANLN,SLCO3A1,TLE5,NAALADL2,LAPTM4B,RPL14,GLRX,NLK,IL7R,IVNS1ABP,FTH1,SYTL2,HIVEP3,BTG2,SSR4,KLF12,CMIP,FOS,GPR65,LRIG1,NFKB1
C12orf75,CLEC7A,SIPA1L3,NPM1,TSPAN5,GCLC,OXSR1,PDE4B,POU2AF1,PTPRK,TSPO,ACSL1,IGLL5,IGFBP7,RPS12,RFX7,SIAH2,CTDSPL,PDE7A,IL3RA,TTC39C,GZMM,AGAP1,EIF1,ATP5F1E,SLC38A1,ATP8A1,NEAT1,CERK,PHACTR2,EIF3G
