p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.99990200849381e-209,-0.771303851469492,0.014,0.135,4.83696299774313e-205,0,FCER1G
3.42073864388297e-209,-0.909058486949379,0.015,0.135,8.27339848409536e-205,0,AL589693.1
2.23343486420161e-205,0.330250109145472,0.346,0.198,5.40178556255801e-201,0,CYTOR
2.69413114252487e-205,-0.734185572937447,0.352,0.514,6.51602558131066e-201,0,ANK3
6.64108464795972e-205,0.321201194708137,0.932,0.858,1.60621273295554e-200,0,MYL12A
8.27152047751046e-205,-0.459265705388182,0.156,0.324,2.00054994269068e-200,0,PRKCQ-AS1
1.51407993536288e-204,-0.623193641009332,0.056,0.197,3.66195373166865e-200,0,AK5
8.12367912296515e-204,-0.456134640008575,0.976,0.932,1.96479303268035e-199,0,RPS13
2.3093994580282e-202,0.274749186001724,0.675,0.472,5.585513529187e-198,0,NCALD
1.10644848793653e-201,-0.400124763982042,0.965,0.921,2.67605631292329e-197,0,RPL22
1.91491395259734e-201,0.254040677426864,0.266,0.131,4.63141088575192e-197,0,S1PR5
2.95636924448579e-201,0.286873504269939,0.845,0.734,7.15027465471333e-197,0,IFITM2
7.98303614097087e-201,-0.628708160356967,0.131,0.29,1.93077712105522e-196,0,IGF1R
9.9662722640008e-201,-0.426508362627096,0.144,0.315,2.41044260977123e-196,0,RAB3GAP1
1.05979383596045e-200,0.347400759537539,0.727,0.604,2.56321737165395e-196,0,SUN2
1.28950891852057e-200,-0.386290554707696,0.09,0.245,3.11880627033386e-196,0,ITGA6
8.42732344405225e-199,-0.412791479307405,0.171,0.344,2.03823244817848e-194,0,FAM102A
2.4195605929771e-198,0.332388896916836,0.54,0.364,5.85194925017441e-194,0,BHLHE40
2.62550157303972e-198,-0.327767764584158,0.997,0.983,6.35003810455387e-194,0,RPL13
4.99199287157238e-198,-0.508355735953809,0.632,0.709,1.2073633959185e-193,0,GAS5
2.60906286433596e-197,0.272036823966795,0.903,0.793,6.31027944368295e-193,0,TGFB1
2.7161627019636e-197,-0.531091966751587,0.428,0.589,6.56931111096917e-193,0,RHOH
4.00719919264422e-197,0.279876707838048,0.922,0.868,9.69181196732932e-193,0,SEPTIN7
9.28410844997907e-197,0.354415965534191,0.481,0.32,2.24545446971194e-192,0,GALNT10
9.45784159838222e-196,-0.456333939591928,0.026,0.148,2.28747356898472e-191,0,ADAM19
5.52436667451362e-195,-0.522331590749593,0.059,0.197,1.33612332389786e-190,0,AREG
2.16447047134282e-194,0.263267107941333,0.181,0.077,5.23498828198974e-190,0,TMCC3
2.49444631090544e-194,0.264993919385376,0.961,0.905,6.03306784755589e-190,0,SERF2
2.2989173535225e-193,0.304561336665175,0.131,0.048,5.56016151122951e-189,0,ATL1
9.39764230833822e-193,0.268969816116519,0.996,0.993,2.27291376869468e-188,0,MT-ND5
5.20367658281782e-192,-0.486703999566599,0.024,0.143,1.25856121832032e-187,0,SNED1
1.24208888050824e-191,0.266470256571426,0.145,0.055,3.00411616639723e-187,0,ZNF683
2.21037345573554e-190,-0.425893111885894,0.05,0.183,5.34600924004198e-186,0,PCSK5
4.01095086761057e-189,0.313678702568215,0.862,0.79,9.70088576840294e-185,0,TPM3
5.02890807515213e-189,0.277504925122295,0.327,0.179,1.21629170705629e-184,0,LINC02384
1.44028956252988e-188,0.262325570094975,0.273,0.141,3.48348433593477e-184,0,ITGAM
1.5635652209308e-188,-0.431342532193397,0.412,0.574,3.78163884334322e-184,0,PIK3IP1
1.66999881925559e-188,-0.28457770837582,0.998,0.986,4.03905914425158e-184,0,EEF1A1
6.14610006435502e-188,-0.397202484644979,0.954,0.955,1.4864957615649e-183,0,BTG1
1.1635565858361e-187,-0.410125627431281,0.075,0.218,2.8141779585032e-183,0,SATB1-AS1
1.3580093896551e-187,0.279002753266117,0.309,0.169,3.28448150981983e-183,0,TBX21
1.35890563759031e-187,-0.412318467827693,0.107,0.258,3.28664917507593e-183,0,DUSP16
7.41706761153026e-187,-0.268640281360521,0.015,0.127,1.79389197252471e-182,0,RCAN3AS
9.16292286781155e-187,0.322083696958653,0.53,0.374,2.2161445248089e-182,0,RASSF1
1.25718194012313e-186,0.25924067830041,0.197,0.091,3.04062024038179e-182,0,SERTAD3
