"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"248",0,1.81500550435854,0.915,0.269,0,"Pre B cells","HMGA1"
"249",0,1.80691642109619,0.898,0.141,0,"Pre B cells","TCF3"
"250",0,1.80486314493766,0.794,0.039,0,"Pre B cells","NIBAN3"
"251",0,5.44173410805012,1,0.24,0,"Late Erythroids","HBB"
"252",0,4.97622050778725,0.994,0.075,0,"Late Erythroids","HBA2"
"253",0,4.77185879241609,0.994,0.08,0,"Late Erythroids","HBA1"
"254",0,4.61993169039328,0.983,0.058,0,"Late Erythroids","ALAS2"
"255",0,4.51273548337332,0.986,0.085,0,"Late Erythroids","HBD"
"256",0,4.09062499992224,0.998,0.161,0,"Late Erythroids","SLC25A37"
"257",0,3.80628649332111,0.961,0.096,0,"Late Erythroids","SNCA"
"258",0,3.75626746102152,0.957,0.069,0,"Late Erythroids","TRIM58"
"259",0,3.39532397700472,0.988,0.277,0,"Late Erythroids","SLC25A39"
"260",0,3.36669387126431,0.974,0.23,0,"Late Erythroids","BNIP3L"
"261",0,3.34307320645764,0.98,0.076,0,"Late Erythroids","AHSP"
"262",0,3.16696931611824,0.93,0.062,0,"Late Erythroids","HBM"
"263",0,3.16242584388668,0.758,0.002,0,"Late Erythroids","IFIT1B"
"264",0,3.08674131111154,0.959,0.048,0,"Late Erythroids","SLC4A1"
"265",0,2.94811842836035,0.967,0.708,0,"Late Erythroids","UBB"
"266",0,2.92700993561177,0.862,0.089,0,"Late Erythroids","DCAF12"
"267",0,2.92687912063204,0.92,0.045,0,"Late Erythroids","SELENBP1"
"268",0,2.87579668954763,0.945,0.275,0,"Late Erythroids","NCOA4"
"269",0,2.7734761925079,0.928,0.085,0,"Late Erythroids","FECH"
"270",0,2.75687875923663,0.92,0.144,0,"Late Erythroids","BCL2L1"
"271",0,2.73698898052151,0.979,0.221,0,"Late Erythroids","BLVRB"
"272",0,2.73290762954949,0.963,0.271,0,"Late Erythroids","GLRX5"
"273",0,2.7040689953708,0.845,0.063,0,"Late Erythroids","BPGM"
"274",0,2.69184826449139,0.947,0.08,0,"Late Erythroids","CA1"
"275",0,2.67251438490659,0.981,0.449,0,"Late Erythroids","BSG"
"276",0,2.66021305216596,0.867,0.21,0,"Late Erythroids","MKRN1"
"277",0,2.54272049211846,0.949,0.32,0,"Late Erythroids","RBM38"
"278",0,2.40108206938288,0.885,0.171,0,"Late Erythroids","LGALS3"
"279",0,2.39452007006873,0.896,0.096,0,"Late Erythroids","FAM210B"
"280",0,2.3582991961491,0.846,0.047,0,"Late Erythroids","EPB42"
"281",0,2.33770251119836,0.806,0.049,0,"Late Erythroids","GYPB"
"282",0,2.33558031666245,0.875,0.101,0,"Late Erythroids","STRADB"
"283",0,2.30472474525238,0.75,0.106,0,"Late Erythroids","HMBS"
"284",0,2.28954768738269,0.882,0.2,0,"Late Erythroids","ADIPOR1"
"285",0,2.27776856846589,0.943,0.299,0,"Late Erythroids","FBXO7"
"286",0,2.2663942501623,0.908,0.152,0,"Late Erythroids","MPP1"
"287",0,2.26349506340903,0.562,0.009,0,"Late Erythroids","TMCC2"
"288",0,2.22974549206935,0.838,0.058,0,"Late Erythroids","GMPR"
"289",0,2.17816699401074,0.902,0.233,0,"Late Erythroids","YBX3"
"290",0,2.12305690796663,0.666,0.121,0,"Late Erythroids","ARL4A"
"291",0,2.06812337786186,0.881,0.219,0,"Late Erythroids","MAP2K3"
"292",0,2.0332374467588,0.42,0.075,0,"Late Erythroids","EIF1AY"
"293",0,2.02190948368472,0.762,0.054,0,"Late Erythroids","NFIX"
"294",0,2.01879820432997,0.747,0.069,0,"Late Erythroids","ANK1"
"295",0,2.00880063836151,0.302,0.029,0,"Late Erythroids","IFI27"
"296",0,1.97811592680132,0.788,0.093,0,"Late Erythroids","MARCHF8"
"297",0,1.96583656717916,0.966,0.513,0,"Late Erythroids","FKBP8"
"298",0,1.95814860397696,0.77,0.163,0,"Late Erythroids","NUDT4"
"299",0,1.9363224137718,0.747,0.204,0,"Late Erythroids","PITHD1"
"300",0,1.92580573958304,0.882,0.232,0,"Late Erythroids","TENT5C"
"301",0,2.5134754439311,0.714,0.363,0,"NK T cells","PRKCH"
"302",0,2.26677813396392,0.714,0.418,0,"NK T cells","SKAP1"
"303",0,2.21552279630466,0.764,0.569,0,"NK T cells","ARHGAP15"
"304",0,2.12414872061559,0.521,0.26,0,"NK T cells","RORA"
"305",0,2.10589016676779,0.488,0.228,0,"NK T cells","KLF12"
"306",0,2.05307907590886,0.366,0.147,0,"NK T cells","TGFBR3"
"307",0,2.04966760683663,0.524,0.311,0,"NK T cells","PITPNC1"
"308",0,2.02834503442422,0.538,0.288,0,"NK T cells","BCL11B"
"309",0,2.01246538074341,0.603,0.422,0,"NK T cells","RABGAP1L"
"310",0,2.00440420811246,0.671,0.452,0,"NK T cells","ANKRD44"
"311",0,1.95956985966631,0.414,0.216,0,"NK T cells","ATXN1"
"312",0,1.9334711287896,0.302,0.109,0,"NK T cells","NCALD"
"313",0,1.93033320518272,0.484,0.273,0,"NK T cells","SYNE1"
"314",0,1.9267763604375,0.422,0.218,0,"NK T cells","THEMIS"
"315",0,1.9245276406455,0.606,0.395,0,"NK T cells","UTRN"
"316",0,1.92053308206635,0.591,0.333,0,"NK T cells","SYNE2"
"317",0,1.9130570314743,0.408,0.263,0,"NK T cells","INPP4B"
"318",0,1.88310061623079,0.396,0.248,0,"NK T cells","MAML2"
"319",0,1.87462064040414,0.474,0.272,0,"NK T cells","CBLB"
"320",0,1.87444988152701,0.352,0.19,0,"NK T cells","AC002316.1"
"321",0,1.87439557259772,0.569,0.384,0,"NK T cells","RASA3"
"322",0,1.8661586228362,0.601,0.369,0,"NK T cells","CD247"
"323",0,1.84957444557324,0.576,0.403,0,"NK T cells","CYTH1"
"324",0,1.8492377662229,0.54,0.362,0,"NK T cells","DOCK10"
"325",0,1.84365801715969,0.657,0.481,0,"NK T cells","CELF2"
"326",0,1.83238166712266,0.402,0.198,0,"NK T cells","TNIK"
"327",0,1.83031328373416,0.794,0.693,0,"NK T cells","MBNL1"
"328",0,1.82856522695238,0.527,0.336,0,"NK T cells","PARP8"
"329",0,1.82497340559759,0.487,0.338,0,"NK T cells","ZBTB20"
"330",0,1.81598194685576,0.576,0.42,0,"NK T cells","CDC42SE2"
"331",0,1.7999784752252,0.393,0.195,0,"NK T cells","CARD11"
"332",0,1.77138498803413,0.493,0.33,0,"NK T cells","RUNX1"
"333",0,1.74944040378698,0.627,0.452,0,"NK T cells","FYN"
"334",0,1.7478629890832,1,0.953,0,"NK T cells","MALAT1"
