,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
283,2.47E-125,-0.390491967,0.59,0.591,9.28E-121,0,CALR,
134,0,-0.393980841,0.999,0.999,0,0,MALAT1,
304,9.99E-88,-0.395964903,0.26,0.306,3.75E-83,0,NLRC5,
305,2.49E-85,-0.396991013,0.298,0.339,9.34E-81,0,PIK3R5,
323,9.90E-44,-0.398851148,0.282,0.306,3.72E-39,0,RUNX1,
271,2.71E-137,-0.400422799,0.307,0.366,1.02E-132,0,CFLAR,
249,8.49E-204,-0.402414614,0.402,0.486,3.19E-199,0,ITGA4,
135,0,-0.40273079,1,0.99,0,0,HLA-B,
287,6.86E-115,-0.405204633,0.335,0.383,2.58E-110,0,CCDC88C,
231,2.43E-270,-0.405829988,0.757,0.742,9.11E-266,0,UBB,
256,2.88E-190,-0.405999358,0.574,0.594,1.08E-185,0,PDIA3,
292,5.76E-104,-0.407263741,0.447,0.47,2.16E-99,0,HSPA5,
237,7.31E-245,-0.408731672,0.683,0.691,2.75E-240,0,PSMB9,
265,2.82E-162,-0.408919662,0.397,0.445,1.06E-157,0,DBI,
227,2.33E-295,-0.416667087,0.608,0.683,8.77E-291,0,AHNAK,
300,5.30E-90,-0.417423686,0.313,0.355,1.99E-85,0,LRBA,
275,1.15E-134,-0.417955097,0.281,0.341,4.34E-130,0,PTPN4,
288,1.84E-113,-0.421788224,0.432,0.465,6.90E-109,0,PIK3R1,
259,1.81E-174,-0.422644078,0.68,0.683,6.81E-170,0,SKAP1,
294,1.90E-97,-0.426184679,0.441,0.466,7.14E-93,0,PITPNC1,
246,3.78E-212,-0.426234025,0.479,0.53,1.42E-207,0,WIPF1,
136,0,-0.426400641,0.999,0.985,0,0,HLA-A,
267,2.31E-159,-0.427650992,0.242,0.312,8.68E-155,0,SIPA1,
299,5.24E-92,-0.427669003,0.31,0.353,1.97E-87,0,H1-2,
137,0,-0.431194624,0.796,0.783,0,0,ARPC2,
318,1.48E-56,-0.431291373,0.394,0.415,5.55E-52,0,DUSP1,
236,4.48E-245,-0.436869316,0.666,0.683,1.68E-240,0,JAK1,
254,2.05E-196,-0.437336208,0.358,0.426,7.68E-192,0,SSBP4,
235,1.78E-245,-0.437505748,0.553,0.59,6.69E-241,0,SEPTIN7,
269,1.24E-151,-0.439700809,0.249,0.316,4.64E-147,0,ARHGAP25,
278,3.15E-131,-0.439734876,0.399,0.442,1.18E-126,0,MACF1,
272,3.20E-137,-0.445312111,0.302,0.36,1.20E-132,0,SRPK2,
138,0,-0.445878968,0.959,0.94,0,0,H3-3B,
264,1.62E-164,-0.448341182,0.229,0.304,6.07E-160,0,PREX1,
139,0,-0.451049366,0.775,0.775,0,0,LSP1,
258,1.04E-176,-0.451175852,0.335,0.4,3.89E-172,0,MYO1G,
270,5.87E-149,-0.451911923,0.357,0.412,2.21E-144,0,STAT4,
260,1.25E-168,-0.453639132,0.32,0.384,4.69E-164,0,SPN,
253,1.39E-197,-0.456674898,0.223,0.304,5.23E-193,0,SASH3,
268,5.32E-157,-0.463806015,0.526,0.556,2.00E-152,0,CELF2,
140,0,-0.473426043,0.997,0.965,0,0,PFN1,
141,0,-0.477198581,0.668,0.696,0,0,LCP1,
241,4.04E-226,-0.482593524,0.396,0.465,1.52E-221,0,STK17A,
255,2.71E-191,-0.487359425,0.828,0.783,1.02E-186,0,IFITM2,
257,1.67E-178,-0.490035899,0.247,0.323,6.29E-174,0,INPP5D,
239,5.45E-241,-0.490364407,0.409,0.478,2.05E-236,0,TLN1,
142,0,-0.493425165,0.974,0.933,0,0,SH3BGRL3,
143,0,-0.498802866,0.7,0.721,0,0,PLAAT4,
233,5.08E-257,-0.498873788,0.382,0.459,1.91E-252,0,IQGAP1,
276,7.38E-134,-0.501200404,0.262,0.324,2.77E-129,0,SIK3,
251,5.96E-200,-0.501712566,0.224,0.306,2.24E-195,0,NFATC2,
245,5.39E-213,-0.503014674,0.383,0.451,2.02E-208,0,STK10,
144,0,-0.506581259,0.689,0.716,0,0,TGFB1,
280,1.09E-128,-0.511076719,0.338,0.39,4.09E-124,0,NEAT1,
145,0,-0.512236905,0.998,0.982,0,0,HLA-C,
146,0,-0.512970768,0.605,0.646,0,0,RAP1B,
225,6.96E-299,-0.521839539,0.425,0.502,2.62E-294,0,PAXX,
242,4.70E-226,-0.52485401,0.346,0.426,1.77E-221,0,IQGAP2,
147,0,-0.536126224,0.573,0.626,0,0,MSN,
229,1.84E-283,-0.538101931,0.504,0.57,6.92E-279,0,SYNE2,
240,8.38E-229,-0.53882437,0.499,0.557,3.15E-224,0,IER2,
232,9.47E-260,-0.544609133,0.22,0.317,3.56E-255,0,IKZF3,
148,0,-0.55044536,0.923,0.931,0,0,PTPRC,
230,9.01E-277,-0.554311601,0.2,0.301,3.38E-272,0,REL,
266,5.60E-160,-0.557072101,0.217,0.301,2.10E-155,0,KLRB1,
243,6.40E-225,-0.558389186,0.555,0.603,2.40E-220,0,H1-4,
149,0,-0.565193922,0.724,0.773,0,0,ARL4C,
277,1.42E-133,-0.565825506,0.274,0.343,5.33E-129,0,LGALS1,
238,1.34E-243,-0.570749171,0.332,0.413,5.04E-239,0,PRKCB,
150,0,-0.572331697,0.299,0.404,0,0,CLEC2B,
151,0,-0.58433172,0.186,0.301,0,0,TENT5C,
152,0,-0.589063241,0.999,0.999,0,0,MT-CO1,
153,0,-0.597109789,0.389,0.479,0,0,MBP,
224,1.37E-305,-0.599219538,0.353,0.443,5.15E-301,0,FAM49B,
154,0,-0.613418889,0.335,0.431,0,0,PIP4K2A,
228,4.89E-289,-0.614479392,0.614,0.648,1.83E-284,0,CD247,
155,0,-0.616907834,0.249,0.373,0,0,ARPC5L,
156,0,-0.618368728,0.667,0.718,0,0,CLIC1,
157,0,-0.62479199,0.536,0.611,0,0,SLC9A3R1,
158,0,-0.628944051,0.389,0.491,0,0,PPP2R5C,
